staff_email,staff_id,staff_first_name,staff_last_name
automation.testing+SOGNFVrxUt_20231010164014936@apptegy.com,staff1,John1,Doe1
automation.testing+rdAURyPCUz_20231010164014936@apptegy.com,staff2,John2,Doe2
automation.testing+yQhEdaRziF_20231010164014936@apptegy.com,staff3,John3,Doe3
automation.testing+dCimckUMpO_20231010164014936@apptegy.com,staff4,John4,Doe4
automation.testing+hAmZbBovQP_20231010164014936@apptegy.com,staff5,John5,Doe5
automation.testing+IyEzNGSanO_20231010164014936@apptegy.com,staff6,John6,Doe6
automation.testing+akkvDnTMno_20231010164014936@apptegy.com,staff7,John7,Doe7
automation.testing+AWAsLXnjUh_20231010164014936@apptegy.com,staff8,John8,Doe8
automation.testing+lluaidzNbW_20231010164014936@apptegy.com,staff9,John9,Doe9
automation.testing+PlZDKHKrcm_20231010164014936@apptegy.com,staff10,John10,Doe10
automation.testing+MJBToOQlYC_20231010164014936@apptegy.com,staff11,John11,Doe11
automation.testing+ZHPlQuXWzS_20231010164014936@apptegy.com,staff12,John12,Doe12
