student_email,student_id,student_first_name,student_last_name
automation.testing+OsKftPBSWU_20231010164014937@apptegy.com,student1,Jane1,Smith1
automation.testing+SGfFRJmWiJ_20231010164014937@apptegy.com,student2,Jane2,Smith2
automation.testing+zgKRrXrQRn_20231010164014937@apptegy.com,student3,Jane3,Smith3
automation.testing+PrHCWUDFFn_20231010164014937@apptegy.com,student4,Jane4,Smith4
automation.testing+ZWKHRnWKca_20231010164014938@apptegy.com,student5,Jane5,Smith5
automation.testing+UiMhjIAOAR_20231010164014938@apptegy.com,student6,Jane6,Smith6
automation.testing+uGKCtAOZiZ_20231010164014938@apptegy.com,student7,Jane7,Smith7
automation.testing+CyZMzFhEln_20231010164014938@apptegy.com,student8,Jane8,Smith8
automation.testing+dJMuJQIhxR_20231010164014938@apptegy.com,student9,Jane9,Smith9
automation.testing+NnnKbIabsD_20231010164014938@apptegy.com,student10,Jane10,Smith10
automation.testing+EBgkNIjsDo_20231010164014938@apptegy.com,student11,Jane11,Smith11
automation.testing+AytmhxIcQL_20231010164014938@apptegy.com,student12,Jane12,Smith12
